fonte,estacao_id,estacao_nome,latitude,longitude,altitude
Alerta Rio,11,IRAJA,-22.82694,-43.33694,20.0
Alerta Rio,16,JARDIM_BOTANICO,-22.97278,-43.22389,0.0
Alerta Rio,19,BARRA_RIOCENTRO,-22.97721,-43.39155,0.0
Alerta Rio,20,GUARATIBA,-23.05028,-43.59472,0.0
Alerta Rio,22,SANTA_CRUZ,-22.90944,-43.68444,15.0
Alerta Rio,28,ALTO_DA_BOA_VISTA,-22.96583,-43.27833,355.0
Alerta Rio,32,SAO_CRISTOVAO,-22.89667,-43.22167,25.0
INMET,A602,MARAMBAIA,-23.05,-43.6,9.7
INMET,A621,VILA MILITAR,-22.86083333,-43.41111111,45.0
INMET,A636,RIO DE JANEIRO - JACAREPAGUA,-22.93972221,-43.40277777,20.0
INMET,A652,FORTE DE COPACABANA,-22.98833333,-43.19027777,42.0
REDEMET,SBAF,BASE AÉREA DOS AFONSOS,-22.875,-43.3844,
REDEMET,SBGL,AEROPORTO INTERNACIONAL DO RIO DE JANEIRO,-22.809,-43.2436,
REDEMET,SBJR,AEROPORTO DE JACAREPAGUÁ,-22.9867,-43.3719,
REDEMET,SBRJ,AEROPORTO SANTOS DUMONT,-22.9103,-43.1631,
REDEMET,SBSC,BASE AÉREA DE SANTA CRUZ,-22.9322,-43.7189,
