dia,t_med,t_max,hi_med,hi_max,num_hr_32,num_hr_33,num_hr_34,num_hr_35,num_hr_36,num_hr_37,num_hr_38,num_hr_39,num_hr_40,num_hr_41,num_hr_42,num_hr_43,num_hr_44,auc32,auc36
2012-01-01,23.522916616996127,25.6,24.537089137854398,26.498888679080537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-02,21.216145821412407,22.299999809265138,21.7280787015182,22.243888888888883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-03,22.606250037749607,25.749999713897704,23.249849576376107,26.425555555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-04,23.306250009934107,27.475000047683714,24.18023657704339,29.72294186374899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-05,23.709895859162007,28.325000095367432,24.796228047765695,30.465340207901033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-06,24.631770847241082,30.837500143051148,25.90117128919171,34.27044317257282,2,1,1,0,0,0,0,0,0,0,0,0,0,3.0879896467350223,0
2012-01-07,24.92552088896434,29.16249990463257,26.19783682017014,31.136592726071132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-08,24.200520898898446,28.16250009536743,25.31446171086645,30.521965973837585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-09,23.887500025828675,26.39999990463257,24.415886044893615,27.587236460435655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-10,23.053124992052716,26.387499952316283,23.97371983695427,28.154208863486915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-11,23.30729166467984,26.749999952316283,24.406939083403092,29.669262147375207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-12,25.135937513907752,30.999999952316283,26.08092016583755,31.212973125366087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-13,25.970312513907754,33.81250028610229,27.039887576611516,34.1933344015645,5,4,2,0,0,0,0,0,0,0,0,0,0,8.149155639103496,0
2012-01-14,29.00208334724108,34.55,30.481098239636946,36.32646294361782,9,8,7,4,1,0,0,0,0,0,0,0,0,23.77826538162024,0.3278952369119289
2012-01-15,28.382812519868214,33.487500286102296,29.751375466526284,34.6633668112419,6,4,3,0,0,0,0,0,0,0,0,0,0,9.260047904651177,0
2012-01-16,24.597395817438763,29.0125,26.084396189457987,33.57544049699704,3,2,0,0,0,0,0,0,0,0,0,0,0,2.774599959139438,0
2012-01-17,24.97500006556511,29.437500047683717,26.725826518950395,33.93687959826936,4,2,0,0,0,0,0,0,0,0,0,0,0,3.9302900640771417,0
2012-01-18,25.032291730244953,29.43750023841858,26.686456038052157,33.28782078050458,3,2,0,0,0,0,0,0,0,0,0,0,0,2.7571355870850605,0
2012-01-19,25.219791754086813,29.837499952316286,26.703945707852842,33.1335384169424,4,1,0,0,0,0,0,0,0,0,0,0,0,2.548321967630348,0
2012-01-20,25.5442708114783,30.45,26.990760138850813,32.84658948343955,3,0,0,0,0,0,0,0,0,0,0,0,0,1.2409776421460494,0
2012-01-21,26.29635422031085,30.975,27.651428280863456,33.578850525688466,4,1,0,0,0,0,0,0,0,0,0,0,0,3.560191701415179,0
2012-01-22,25.75208330949148,29.53749990463257,27.275726552145077,32.499212684063345,3,0,0,0,0,0,0,0,0,0,0,0,0,0.9871080741281801,0
2012-01-23,27.0630207657814,32.412500095367434,28.423946095890297,34.48739574060216,7,5,1,0,0,0,0,0,0,0,0,0,0,8.148626371501143,0
2012-01-24,27.70677087903023,32.95,28.68384242528724,34.16133020955562,7,3,1,0,0,0,0,0,0,0,0,0,0,7.4598736189382,0
2012-01-25,28.800520869096122,35.21250066757202,29.805383127968682,34.82713528417101,9,7,3,0,0,0,0,0,0,0,0,0,0,15.347678884933506,0
2012-01-26,23.964062581459686,26.62500023841858,25.443614097077404,30.130307471250962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-27,20.834374914566677,21.95,21.53271014869949,22.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-28,20.13541663686435,22.074999856948853,20.745607671671447,22.7211111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-29,20.75625001192093,22.612499713897705,21.378909154446035,22.880972222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-30,22.113020839293796,24.762500047683716,22.88731864879897,25.618333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-31,22.868229166666666,25.049999952316284,23.609913211928475,26.06111195034451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,25.945833321412405,32.274999904632566,27.234644620970514,34.245152017404486,6,3,2,0,0,0,0,0,0,0,0,0,0,7.155014848911363,0
